symbol,predict,result
DOCU,increasePercent,0
ZM,increasePercent,1
DXCM,increasePercent,1
SPLK,increasePercent,0
SGEN,increasePercent,1
CDW,increasePercent,0
INTC,increasePercent,1
XEL,increasePercent,1
GILD,increasePercent,0
TTWO,increasePercent,0
CHTR,increasePercent,2
FISV,increasePercent,1
AMAT,increasePercent,0
MXIM,increasePercent,0
MU,increasePercent,1
CTSH,increasePercent,1
PCAR,increasePercent,0
PYPL,increasePercent,0
INCY,increasePercent,0
JD,increasePercent,0
WBA,increasePercent,0
COST,increasePercent,1
GOOG,increasePercent,1
NXPI,increasePercent,1
TSLA,increasePercent,1
REGN,increasePercent,1
FB,increasePercent,1
TXN,increasePercent,1
TCOM,increasePercent,0
CHKP,increasePercent,0
CERN,increasePercent,1
EA,increasePercent,0
INTU,increasePercent,1
ADP,increasePercent,1
VRTX,increasePercent,1
ISRG,increasePercent,1
EXPE,increasePercent,0
CMCSA,increasePercent,0
AMZN,increasePercent,2
SBUX,increasePercent,0
BIIB,increasePercent,1
VRSN,increasePercent,1
DLTR,increasePercent,0
XLNX,increasePercent,1
SNPS,increasePercent,0
ROST,increasePercent,0
MSFT,increasePercent,1
MCHP,increasePercent,0
IDXX,increasePercent,1
FAST,increasePercent,0
CTAS,increasePercent,1
AAPL,increasePercent,1
AMGN,increasePercent,1
ADBE,increasePercent,1
PDD,increasePercent,0
MRNA,increasePercent,1
CPRT,increasePercent,0
ANSS,increasePercent,1
EXC,increasePercent,0
FOXA,increasePercent,0
FOX,increasePercent,0
LULU,increasePercent,1
AMD,increasePercent,0
PEP,increasePercent,1
KHC,increasePercent,0
WDAY,increasePercent,0
LBTYA,increasePercent,0
ALGN,increasePercent,1
MELI,increasePercent,1
NTES,increasePercent,1
CSX,increasePercent,1
ULTA,increasePercent,0
TMUS,increasePercent,0
SWKS,increasePercent,0
BMRN,increasePercent,0
LBTYK,increasePercent,0
EBAY,increasePercent,0
BIDU,increasePercent,0
MAR,increasePercent,0
CTXS,increasePercent,0
WDC,increasePercent,0
VRSK,increasePercent,0
QCOM,increasePercent,0
ADI,increasePercent,0
MDLZ,increasePercent,0
CDNS,increasePercent,1
AVGO,increasePercent,1
ALXN,increasePercent,1
NFLX,increasePercent,1
BKNG,increasePercent,1
ORLY,increasePercent,1
ILMN,increasePercent,1
MNST,increasePercent,0
GOOGL,increasePercent,1
ATVI,increasePercent,0
SIRI,increasePercent,1
LRCX,increasePercent,1
NVDA,increasePercent,1
PAYX,increasePercent,0
KLAC,increasePercent,0
CSCO,increasePercent,0
ADSK,increasePercent,1
